W012000760	1987-06-24	TREMPLIN	020005	ASSOCIATIONS CARITATIVES, HUMANITAIRES, AIDE AU DÉVELOPPEMENT, DÉVELOPPEMENT DU BÉNÉVOLAT	01053	01	01000	BOURG-EN-BRESSE	FEMME	false		false	37115653	6
W012001054	1966-11-07	AGENCE POUR LA GESTION, LA LIAISON ET LE CONSEIL AUX ASSOCIATIONS (AGLCA)	009000	ACTION SOCIOCULTURELLE	01053	01	01000	BOURG-EN-BRESSE	HOMME	false		false	643139	4
W012001058	1985-07-25	ASSOCIATION DEPARTEMENTALE POUR LE DEVELOPPEMENT DE L'EMPLOI AGRICOLE ET RURAL (ADDEAR)	030000	AIDE À L'EMPLOI, DÉVELOPPEMENT LOCAL, PROMOTION DE SOLIDARITÉS ÉCONOMIQUES, VIE LOCALE	01053	01	01000	BOURG-EN-BRESSE	NON RENSEIGNE	false		false	1400	1
W012001243	1993-10-08	THEATRE ALLEGRO	006000	CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES	01249	01	01700	MIRIBEL	FEMME	false		false	6000	1
W012001256	2007-03-15	ASSOCIATION LES LÔNES	019010	INTERVENTIONS SOCIALES	01027	01	01360	BALAN	FEMME	false		false	3000	1
W012001355	1966-12-22	ASSOCIATION DEPARTEMENTALE POUR LA PROTECTION CIVILE DE L'AIN (ADPC 01)	003015	DÉFENSE DE DROITS FONDAMENTAUX, ACTIVITÉS CIVIQUES	01053	01	01000	BOURG-EN-BRESSE	HOMME	false		false	24610	1
W012001427	2006-03-16	OXY'JEUNES	019010	INTERVENTIONS SOCIALES	01005	01	01330	AMBÉRIEUX-EN-DOMBES	HOMME	false		false	3500	1
W012001515	2002-03-28	RESEAU NATIONAL DES MAISONS DES ASSOCIATIONS	014000	AMICALES, GROUPEMENTS AFFINITAIRES, GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX)	29232	29	29000	QUIMPER	NON RENSEIGNE	false		false	119200	3
W012001516	1945-10-09	UNION DEPARTEMENTALE DES ASSOCIATIONS FAMILIALES DE L'AIN (UDAF DE L'AIN)	019005	INTERVENTIONS SOCIALES	01053	01	01000	BOURG-EN-BRESSE	FEMME	false		false	14943553	5
W012001581	1938-12-16	ASSOCIATION DEPARTEMENTALE DES PUPILLES DE L'ENSEIGNEMENT PUBLIC	015030	ÉDUCATION  FORMATION	01053	01	01000	BOURG-EN-BRESSE	HOMME	false		false	10746	2
W012001656	1961-10-18	ASSOCIATION DEPARTEMENTALE DES AMIS ET PARENTS D'ENFANTS INADAPTES DE L'AIN (ADAPEI)	018050	SERVICES ET ÉTABLISSEMENTS MÉDICO-SOCIAUX	01053	01	01000	BOURG-EN-BRESSE	FEMME	false		false	83902	5
W012001730	1996-12-18	CENTRE SOCIAL D'ANIMATION DE MIRIBEL (CESAM)	030005	AIDE À L'EMPLOI, DÉVELOPPEMENT LOCAL, PROMOTION DE SOLIDARITÉS ÉCONOMIQUES, VIE LOCALE	01249	01	01700	MIRIBEL	NON RENSEIGNE	false		false	3582	1
W012002380	2000-09-20	ALMA 01 (ALLO MALTRAITANCE ENVERS LES PERSONNES VULNERABLES)	021000	SERVICES FAMILIAUX, SERVICES AUX PERSONNES ÂGÉES	01053	01	01000	BOURG-EN-BRESSE	HOMME	false		false	8000	1
