01188	ILLIAT	28	683
01189	INJOUX-GÉNISSIAT	27	1141
01190	INNIMOND	6	90
01191	IZENAVE	5	158
01192	IZERNORE	53	2338
01193	IZIEU	10	229
01194	JASSANS-RIOTTIER	130	6439
01195	JASSERON	82	1837
01196	JAYAT	43	1239
01197	JOURNANS	24	364
01198	JOYEUX	11	271
01199	JUJURIEUX	70	2183
01200	LABALME	2	219
01202	LAGNIEU	128	7308
01203	LAIZ	31	1355
01204	LE POIZAT-LALLEYRIAT	26	750
01206	LANTENAY	9	283
01207	LAPEYROUSE	8	329
01208	LAVOURS	5	135
01209	LÉAZ	19	794
01210	LÉLEX	12	232
01211	LENT	40	1430
01212	LESCHEROUX	24	727
01213	LEYMENT	51	1370
01214	LEYSSARD	2	164
01215	SURJOUX-LHOPITAL	3	143
01216	LHUIS	31	915
01219	LOMPNAS	10	167
01224	LOYETTES	63	3256
01225	LURCY	13	380
01227	MAGNIEU	11	657
01228	MAILLAT	20	674
01229	MALAFRETAZ	38	1259
01230	MANTENAY-MONTLIN	11	319
01231	MANZIAT	79	1996
01232	MARBOZ	109	2323
01233	MARCHAMP	4	133
01234	MARIGNIEU	7	172
01235	MARLIEUX	40	1246
01236	MARSONNAS	30	1040
01237	MARTIGNAT	28	1732
01238	MASSIEUX	48	2726
01239	MASSIGNIEU-DE-RIVES	24	634
01240	MATAFELON-GRANGES	16	643
01241	MEILLONNAS	48	1390
01242	MÉRIGNAT	5	137
01243	MESSIMY-SUR-SAÔNE	44	1288
01244	MEXIMIEUX	194	8062
01245	BOHAS-MEYRIAT-RIGNAT	35	964
01246	MÉZÉRIAT	85	2253
01247	MIJOUX	23	326
01248	MIONNAY	43	2251
01249	MIRIBEL	224	10273
01250	MISÉRIEUX	51	2226
01252	MOGNENEINS	25	808
01254	MONTAGNAT	68	2167
01255	MONTAGNIEU	12	659
01257	MONTANGES	11	361
01258	MONTCEAUX	49	1222
01259	MONTCET	14	718
01260	LE MONTELLIER	8	307
01261	MONTHIEUX	23	691
01262	MONTLUEL	210	6969
01263	MONTMERLE-SUR-SAÔNE	132	3859
01264	MONTRACOL	36	1036
01265	MONTRÉAL-LA-CLUSE	62	3527
01266	MONTREVEL-EN-BRESSE	132	2618
01267	NURIEUX-VOLOGNAT	13	1048
01268	MURS-ET-GÉLIGNIEUX	7	249
01269	NANTUA	95	3589
01272	NEUVILLE-LES-DAMES	61	1520
01273	NEUVILLE-SUR-AIN	76	1827
01274	LES NEYROLLES	6	660
01275	NEYRON	63	2619
01276	NIÉVROZ	40	1651
01277	NIVOLLET-MONTGRIFFON	2	119
01279	ONCIEU	4	86
01280	ORDONNAZ	5	139
01281	ORNEX	66	4653
01282	OUTRIAZ	10	264
01283	OYONNAX	410	22935
01284	OZAN	18	707
01285	PARCIEUX	37	1259
01286	PARVES ET NATTAGES	31	989
01288	PÉRON	64	2772
01289	PÉRONNAS	217	6811
01290	PÉROUGES	50	1305
01291	PERREX	28	849
01293	PEYRIAT	5	152
01294	PEYRIEU	27	902
01295	PEYZIEUX-SUR-SAÔNE	15	699
01296	PIRAJOUX	11	428
01297	PIZAY	22	882
01298	PLAGNE	3	152
01299	LE PLANTAY	19	592
01301	POLLIAT	107	2608
01302	POLLIEU	7	168
01303	PONCIN	55	1735
01304	PONT-D'AIN	79	2977
01305	PONT-DE-VAUX	108	2256
01306	PONT-DE-VEYLE	67	1705
01307	PORT	19	857
01308	POUGNY	18	821
01309	POUILLAT	5	85
01310	PRÉMEYZEL	4	255
01311	PRÉMILLIEU	3	44
01313	PRÉVESSIN-MOËNS	100	8950
01314	PRIAY	45	1762
01317	RAMASSE	15	336
01318	RANCÉ	19	743
01319	RELEVANT	8	475
01320	REPLONGES	105	3882
01321	REVONNAS	22	917
01322	REYRIEUX	118	5124
01323	REYSSOUZE	19	1003
01325	RIGNIEUX-LE-FRANC	26	1050
01328	ROMANS	10	601
01329	ROSSILLON	10	159
01330	RUFFIEU	10	188
01331	SAINT-ALBAN	5	187
01332	SAINT-ANDRÉ-DE-BÂGÉ	13	802
01333	SAINT-ANDRÉ-DE-CORCY	108	3428
01334	SAINT-ANDRÉ-D'HUIRIAT	24	667
01335	SAINT-ANDRÉ-LE-BOUCHOUX	12	408
01336	SAINT-ANDRÉ-SUR-VIEUX-JONC	36	1196
01337	SAINT-BÉNIGNE	37	1338
01338	GROSLÉE-SAINT-BENOIT	27	1264
01339	SAINT-BERNARD	42	1506
01342	SAINTE-CROIX	14	565
01343	SAINT-CYR-SUR-MENTHON	53	1834
01344	SAINT-DENIS-LÈS-BOURG	192	6109
01345	SAINT-DENIS-EN-BUGEY	42	2300
01346	SAINT-DIDIER-D'AUSSIAT	31	877
01347	SAINT-DIDIER-DE-FORMANS	57	2098
01348	SAINT-DIDIER-SUR-CHALARONNE	88	3003
01349	SAINT-ÉLOI	15	508
01350	SAINT-ÉTIENNE-DU-BOIS	121	2582
01351	SAINT-ÉTIENNE-SUR-CHALARONNE	52	1597
01352	SAINT-ÉTIENNE-SUR-REYSSOUZE	22	589
01353	SAINTE-EUPHÉMIE	60	1728
01354	SAINT-GENIS-POUILLY	196	14143
01355	SAINT-GENIS-SUR-MENTHON	21	493
01356	SAINT-GEORGES-SUR-RENON	1	213
01357	SAINT-GERMAIN-DE-JOUX	15	509
01358	SAINT-GERMAIN-LES-PAROISSES	17	432
01359	SAINT-GERMAIN-SUR-RENON	10	249
01360	SAINT-JEAN-DE-GONVILLE	42	1943
01361	SAINT-JEAN-DE-NIOST	51	1625
01362	SAINT-JEAN-DE-THURIGNEUX	19	801
01363	SAINT-JEAN-LE-VIEUX	39	1842
01364	SAINT-JEAN-SUR-REYSSOUZE	30	763
01365	SAINT-JEAN-SUR-VEYLE	39	1182
01366	SAINTE-JULIE	20	1100
01367	SAINT-JULIEN-SUR-REYSSOUZE	29	750
01368	SAINT-JULIEN-SUR-VEYLE	17	853
01369	SAINT-JUST	36	967
01370	SAINT-LAURENT-SUR-SAÔNE	51	1716
01371	SAINT-MARCEL	26	1271
01372	SAINT-MARTIN-DE-BAVEL	14	449
01373	SAINT-MARTIN-DU-FRÊNE	25	1053
01374	SAINT-MARTIN-DU-MONT	55	1916
01375	SAINT-MARTIN-LE-CHÂTEL	39	802
01376	SAINT-MAURICE-DE-BEYNOST	97	4001
