id;id_ex;siret;rup_mi;gestion;date_creat;date_decla;date_publi;date_disso;nature;groupement;titre;titre_court;objet;objet_social1;objet_social2;adrs_complement;adrs_numvoie;adrs_repetition;adrs_typevoie;adrs_libvoie;adrs_distrib;adrs_codeinsee;adrs_codepostal;adrs_libcommune;adrg_declarant;adrg_complemid;adrg_complemgeo;adrg_libvoie;adrg_distrib;adrg_codepostal;adrg_achemine;adrg_pays;dir_civilite;siteweb;publiweb;observation;position;maj_time
"W9J1000002";"";"";"";"9J1T";"2010-09-28";"2010-09-28";"2010-12-18";"0001-01-01";"D";"S";"ALSOPHIS";"ALSOPHIS";"étudier, protéger, sauvegarder et réhabilité les espèces animales et végétales sauvages des Antilles ; oeuvrer pour la connaissance, la conservation, la restauration et la valorisation de la biodiversité des Antilles";"024025";"024030";"";"57";"";"VILL1";"Créole saint-jean";"_";"97701";"97133";"Saint-Barthélemy";"";"";"";"57 villa créole saint-jean";"";"97133";"Saint-Barthélemy";"FRANCE";"PM";"";"0";"";"A";"2010-12-21 17:49:44"
"W9J1000003";"";"";"";"9J1T";"2010-10-18";"2010-10-18";"2010-12-18";"0001-01-01";"D";"S";"CRAZY TROOP";"CRAZY TROOP";"préparer ses adhérents aux festivités du mardi gras mais aussi tout autre évènement ponctuel durant l'année avec un maximum de six représentations par an";"006045";"000000";"appartement 52, Saint-Jean";"";"";"VILL1";"Créole";"_";"97701";"97133";"Saint-Barthélemy";"";"villa créole appt 52";"B.P 21";"saint-jean";"";"97133";"Saint-Barthélemy";"FRANCE";"PM";"http://facebook.com/crazytroop";"0";"";"A";"2010-12-21 17:49:44"
"W9J1000004";"";"";"";"9J1T";"2010-10-25";"2021-12-03";"2010-12-18";"0001-01-01";"D";"S";"THE YOUNGZ";"THE YOUNGZ";"organiser plusieurs manifestations concernant les fêtes de l'île ainsi que sa fête patronale, des week-ends et soirées culturelles, l'artisanat de l'île, la musique, la danse traditionnelles et modernes, organiser différentes foires, et toutes organisations culturelles publiques ou bien privées, et les autres fêtes de l'année ; prévoir par le biais de plusieurs personnes pratiquants différents sport l'encadrement de jeunes qui souhaiterai d'une part pratiqué une activité sportive de n'importe quel genre et d'autre part participé aux évènements sportifs qui figurent déjà sur l'île ; former des jeunes et moins jeunes dans différents secteurs tels que l'aide aux personnes dans le besoin, aide à l'amélioration de l'habitat, aide à l'insertion de la dite nouvelle génération autrement dit des jeunes dans la société actuelle ainsi que l'aide aux familles en difficultées ; constituer, établir une relation permanente, une coordination et un partenariat avec tous les différents organismes, collectivités locales et territoriales, responsable de : développement de restauration du patrimoine, aménagement du territoire, du tourisme, de l'insertion, de l'habitat, de l'action sociale, du culturel";"006000";"011000";"citerne communale";"";"";"RUE";"public";"_";"97701";"97133";"Saint-Barthélemy";"";"CITERNE COMMUNAL LOCAL ASP";"";"PUBLIC";"";"97133";"SAINT-BARTHéLEMY";"FRANCE";"PF";"";"0";"";"A";"2022-01-04 20:40:18"
"W9J1000005";"24/04/94";"";"";"9J1T";"1994-04-24";"2021-08-09";"1901-07-01";"0001-01-01";"D";"S";"ROTARY CLUB DE SAINT-BARTHELEMY";"ROTARY CLUB DE SAINT-BARTHELEMY";"développer des relations personnelles d'amitié entre ses membres en vue de leur fournir des occasions de servir l'intérêt général";"019000";"000000";"Anse des cayes";"";"";"";"Hôtel Manapany";"_";"97701";"97133";"Saint-Barthélemy";"";"Anse des cayes";"";"Hôtel Manapany";"";"97133";"Saint-Barthélemy";"FRANCE";"PM";"";"1";"";"A";"2021-08-17 14:06:45"
"W9J1000006";"10/08/1995";"";"";"9J1T";"1995-08-10";"2015-11-13";"1995-08-23";"0001-01-01";"D";"S";"SAINT-BARTH HARMONY";"SAINT-BARTH HARMONY";"faire vivre la musique au sein des jeunes gens de l'île ainsi qu'aux moins jeunes, promouvoir la musique au sein de saint-barthélemy en nous occupant de la formation des jeunes musiciens, de leur découverte de la musique, s'occuper de représentations et spectacles que cette association pourrait organiser, faire valoir ses droits et sa propriété musicale sur ses spectacles et oeuvres originales, veiller à ce que le règlement intérieur et le cahier des charges tant sur le plan de la formation que celui de la sécurité soient respectés afin que les adhérents bénéficient du meilleur enseignement, veiller à ce que les fonds engagés par les parents, les donateurs, les collectivités publiques soient utilisés à bon escient pour la plus grande efficacité dans la formation des musiciens, s'assurer que le personnel accomplit bien les tâches pour lesquelles il a été embauché, s'assurer que le personnel ait les avantages auxquels il a droit tant sur le plan financier qu'en ce qui concerne les horaires ou sur l'aide qu'il devra recevoir pour exécuter son travail,";"006030";"000000";"ancienne école Alcide Terrac";"";"";"";"Colombier";"_";"97701";"97133";"Saint-Barthélemy";"";"B.P 38";"";"COLOMBIER";"";"97133";"SAINT-BARTHÉLEMY";"FRANCE";"PM";"";"1";"";"A";"2015-11-16 19:43:53"
"W9J1000007";"22/02/1984";"";"";"9J1T";"1984-03-09";"2021-10-28";"1984-04-01";"0001-01-01";"D";"S";"ASSOCIATION DES PARENTS D'ELEVES DU COLLEGE MIREILLE CHOISY DE ST BARTHELEMY";"ASSOCIATION DES PARENTS D'ELEVES D...";"défendre les intérêts moraux et matériels des parents d'élèves, informer les familles sur la vie scolaire de leur enfant, représenter les parents d'élèves en participant aux conseils d'administration des établissements scolaires et aux conseils de classe, apporter son soutien à l'établissement et contribuer à son animation, participer à la vie de la communauté éducative dans le respect des compétences de chacun des partenaires, promouvoir le caractère propre exprimé dans le projet éducatif de l'établissement en collaboration avec ses responsables et les organismes qui s'y intéressent";"015005";"000000";"Collège Mireille Choisy";"";"";"";"Gustavia";"_";"97701";"97133";"Saint-Barthélemy";"";"";"";"COLOMBIER B.P 17";"";"97012";"SAINT-BARTHÉLEMY";"FRANCE";"PM";"";"1";"";"A";"2021-10-28 21:42:23"
"W9J1000008";"25/06/1984";"";"";"9J1T";"1984-06-25";"2012-10-11";"1984-07-25";"0001-01-01";"D";"S";"RADIO SAINT BARTH FM";"RADIO SAINT BARTH FM";"créer et exploiter une radio libre à Saint-Barthélemy, à Saint-Martin et toutes les îles avoisinantes ainsi que sur internet et satellite dans le cadre de la loi de novembre 1981 et décret du 20 janvier 1982 et permettre la mise en oeuvre d'autres moyens d'expression, journal, télétexte, vidéo";"005010";"000000";"B.P 1113";"";"";"";"Colombier";"_";"97701";"97133";"Saint-Barthélemy";"";"Chez Robert GREAUX";"";"N° 2 Colombier";"";"97133";"Saint-Barthélemy";"FRANCE";"PM";"";"1";"";"A";"2012-10-17 14:13:55"
"W9J1000009";"08/04/2008";"";"";"9J1T";"2008-04-07";"2019-06-18";"2008-05-10";"0001-01-01";"D";"S";"COMITE TERRITORIAL DU TOURISME DE SAINT-BARTHELEMY";"CTTSB";"accueillir et informer le public ainsi que promouvoir le tourisme de l'île de saint-barthélemy sur le plan local, régional et à l'étranger ; étudier et réaliser des mesures tendant à accroître l'activité touristique ; élaborer et mettre en oeuvre un schéma global et de développement du tourisme de saint-barthélemy ; produire des statistiques et des outils statistiques ; contribuer à coordonner les interventions des divers partenaires du développement touristique local en chef d'orchestre de la politique touristique ; élaborer et mettre en oeuvre la politique du tourisme local et des programmes locaux de développement touristique notamment dans les domaines de l'élaboration des services touristiques, de l'exploitation d'installations touristiques et de loisirs, des études, de l'animation des loisirs, de l'organisation de fêtes et de manifestations culturelles ayant une vocation touristique, de programmes de formation, de conception de produits touristiques et de services de communication par internet ou intranet ; s'associer à un ou plusieurs organismes ayant une vocation touristique pour entreprendre des actions d'intérêts interrégional, national ou international, participer à tout organisme ayant une personnalité morale et un objet semblable pour une durée limitée ou une durée illimitée.";"034240";"000000";"Office du Tourisme";"";"";"";"Gustavia";"_";"97701";"97133";"Saint-Barthélemy";"";"";"";"Saint-Jean";"";"97133";"Saint-Barthélemy";"FRANCE";"PM";"";"1";"";"A";"2019-06-19 18:14:07"
"W9J1000010";"25/11/1996";"";"";"9J1T";"1996-11-25";"2019-11-07";"1901-07-01";"0001-01-01";"D";"S";"ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PRIMAIRE DE GUSTAVIA";"A.P.E.E.P.G.";"rechercher et discuter en commun toutes les améliorations désirables dans l'intérêt des élèves, saisir l'administration des voeux émis à ce sujet, poursuivre la réalisation par tous les moyens en son pouvoir, faciliter le fonctionnement et l'organisation de la vie scolaire, créer des animations au moment des fêtes scolaires, rester à l'écoute des parents d'élèves et les informer";"015005";"000000";"Ecole Primaire";"";"";"";"Gustavia";"_";"97701";"97133";"Saint-Barthélemy";"";"Rue de la paix B.P 173";"";"Gustavia";"";"97133";"Saint-Barthélemy";"FRANCE";"PF";"";"1";"";"A";"2019-11-13 14:09:27"
"W9J1000011";"16/03/1992";"";"";"9J1T";"1992-03-16";"2016-11-25";"1992-04-22";"0001-01-01";"D";"S";"SB JAM";"SB JAM";"organiser des animations culturelles et événementielles et sportives ; faire de l'animantion et de l'enseignement sportif ; contribuer au développement des activités socio-éducatives ; promouvoir, initier, enseigner et représenter par le FC young stars";"006030";"000000";"Rue de la paix";"";"";"";"Gustavia";"_";"97701";"97133";"Saint-Barthélemy";"";"15 rue Irénée de Bruyn";"";"Gustavia";"";"97133";"Saint-Barthélemy";"FRANCE";"PF";"";"1";"";"A";"2016-11-25 15:56:56"
