id;id_ex;siret;rup_mi;gestion;date_creat;date_decla;date_publi;date_disso;nature;groupement;titre;titre_court;objet;objet_social1;objet_social2;adrs_complement;adrs_numvoie;adrs_repetition;adrs_typevoie;adrs_libvoie;adrs_distrib;adrs_codeinsee;adrs_codepostal;adrs_libcommune;adrg_declarant;adrg_complemid;adrg_complemgeo;adrg_libvoie;adrg_distrib;adrg_codepostal;adrg_achemine;adrg_pays;dir_civilite;siteweb;publiweb;observation;position;maj_time
"W9J1000012";"";"";"";"9J1T";"2010-11-18";"2021-06-07";"2010-12-18";"0001-01-01";"D";"S";"ASSOCIATION SAINT-BARTH HANDICAP";"A.S.B.H.";"accueillir, aider, et orienter toutes les familles et plus généralement toutes personnes assurant la responsabilité  d'un enfant, adolescent ou adulte ayant un handicap mental ou physique, développer entre elles un esprit d'entraide et de solidarité et de les amener à participer activement à la vie associative ; assurer, coordonner et promouvoir les démarches administratives et les représentations auprès des autorités de tutelle des pouvoirs publics, des élus dans la région, l'information des médias, les manifestations collectives nécessaires à la reconnaissance aux qualités de personnes affectées d'un handicap moral ou physique ; établir une concertation étroite avec les autres associations de la région et toutes personnes physiques ou morales avec lesquelles, l'A.S.B.H. agit en faveur des personnes ayant un handicap mental ou physique quelle que soit la nature du handicap ; susciter et aider autant que de besoin, la création de structures appropriées";"017130";"000000";"";"";"";"";"Corossol";"_";"97701";"97133";"Saint-Barthélemy";"";"ALC";"";"COROSSOL";"";"97133";"SAINT-BARTHéLEMY";"FRANCE";"PM";"";"0";"";"A";"2021-06-10 20:35:11"
"W9J1000013";"27/11/2008";"";"";"9J1T";"2008-11-27";"2017-04-27";"2008-12-20";"0001-01-01";"D";"S";"CENTRE EQUESTRE DE SAINT BARTHELEMY - GALOPS DES ILES";"CENTRE EQUESTRE DE SAINT BARTHELEMY...";"faire pratiquer l'équitation et les sports équestres sous leurs diverses formes ; initier et former les cavaliers amateurs ainsi que former aux différents métiers orientés vers la pratique équestre ; préparer aux examens fédéraux et après agrément par le comité régional d'équitation organiser les sessions de ces examens ; préparer à l'examen du brevet d'état d'enseignant ; organiser des compétitions et manifestations équestres ; promouvoir la pratique et la culture équestre ; prendre en charge les chevaux de propriétaires en pension ; permettre insertion par l'équitation (équithérapie, accueil écoles etc...)";"011050";"000000";"";"";"";"";"";"_Gouverneur";"97701";"97133";"Saint-Barthélemy";"";"MERLETTE";"";"";"B.P 1073";"97133";"SAINT-BARTHÉLEMY";"FRANCE";"PF";"";"1";"";"A";"2017-05-03 15:01:02"
"W9J1000014";"";"";"";"9J1T";"2010-12-13";"2010-12-13";"2010-12-25";"0001-01-01";"D";"S";"PETITS-PLUS";"PETITS-PLUS";"aider des orphelinats au brésil par le biais de parrainages, de dons ponctuels pour achats de vêtements, nourritures, fournitures, etc";"020010";"020005";"Le Rocher Public";"";"";"";"";"_";"97701";"97133";"Saint-Barthélemy";"";"Le Rocher Public apt 2 bloc 2";"B.P 352";"";"";"97133";"Saint-Barthélemy";"FRANCE";"PF";"";"0";"";"A";"2011-01-03 17:43:39"
"W9J1000015";"";"";"";"9J1T";"2010-12-16";"2010-12-16";"2010-12-25";"0001-01-01";"D";"S";"RESSOURCES PARENTALITE";"RESSOURCES PARENTALITE";"soutenir la parentalité et accompagner les parents et les enfants ; vendre des produits et organiser des prestations et manifestations payantes";"019004";"000000";"SAINT-JEAN";"";"";"";"";"_";"97701";"97133";"Saint-Barthélemy";"";"SAINT-JEAN";"B.P 320";"";"";"97133";"Saint-Barthélemy";"FRANCE";"PF";"";"0";"";"A";"2011-01-03 17:43:18"
"W9J1000016";"";"";"";"9J1T";"2010-12-15";"2010-12-15";"2011-01-01";"0001-01-01";"D";"S";"KARIBBEAN FIESTA";"KARIBBEAN FIESTA";"organiser des évènements musicaux tels que soirées et dîners dansants, soirées saisonnières et soirées carnavalesques ainsi que d'autres soirées ; aider d'autres associations ou collectivités par un apport matériel ainsi que de nos compétences ou permettre la sonorisation de groupes musicaux ; permettre aux adhérents de s'initier et d'assurer ces évènements à l'aide d'un parc matériel adapté, performant et de qualité";"006030";"000000";"Anse des cayes";"";"";"";"";"_";"97701";"97133";"Saint-Barthélemy";"";"Anse des cayes";"";"";"";"97133";"Saint-Barthélemy";"FRANCE";"PM";"";"0";"";"A";"2010-12-31 09:39:39"
"W9J1000017";"26/02/1996";"";"";"9J1T";"1996-02-26";"2013-02-14";"1996-04-03";"0001-01-01";"D";"S";"FEDERATION DES ANCIENS COMBATTANTS DE SAINT-BARTHELEMY";"FEDERATION DES ANCIENS COMBATTANTS ...";"resserer les liens unissant les anciens combattants, les titulaires du T.R.N., les anciens résistants et les anciens déportés ; leur venir en aide ainsi qu'à leurs familles ; défendre leurs intérêts matériels et moraux et les représenter en cas de besoin ; établir et développer les contacts entre les anciens combatttants français et alliées";"038105";"000000";"Mairie de Saint-Barthélemy";"";"";"";"Gustavia";"_";"97701";"97133";"Saint-Barthélemy";"";"Marigot";"";"";"";"97133";"Saint-Barthélemy";"FRANCE";"PM";"";"1";"";"A";"2013-02-19 13:55:19"
"W9J1000018";"";"";"";"9J1T";"2011-01-03";"2013-01-21";"2011-01-15";"0001-01-01";"D";"S";"CLUB AERONAUTIQUE DE SAINT-BARTHELEMY";"C.A.S.B.";"permettre le brassage, les échanges, l'entraide entre tous les personnels du monde de l'aviation ; promouvoir, développer l'aviation privée et les sports aériens par toutes manifestation, conférences, publications, cours, rassemblements, parrainages, bourses ; organiser le rassemblement des pilotes privés à Saint-Jean ou toutes autres manifestations aériennes ; organiser des colloques avec interventions de personnalités ; organiser des causeries sur les métiers de l'aviation ; organiser des stages d'initiation aux métiers de l'aéronautique";"007002";"000000";"";"";"";"";"Saint-Jean Carénage";"_";"97701";"97133";"Saint-Barthélémy";"";"B.P 274";"GUSTAVIA";"";"";"97133";"SAINT-BARTHéLEMY";"FRANCE";"PM";"";"0";"";"A";"2013-07-23 20:00:03"
"W9J1000019";"";"";"";"9J1T";"2011-01-04";"2015-07-22";"2011-01-15";"0001-01-01";"D";"S";"ST BARTH ROCKS";"ST BARTH ROCKS";"développer des activités culturelles et musicales";"006030";"000000";"Camaruche";"";"";"";"villa Yellow";"_";"97701";"97133";"Saint-Barthélemy";"";"Hôtel Tom Beach Saint-Jean";"B.P 1058";"";"";"97133";"Saint-Barthélemy";"FRANCE";"PM";"";"0";"";"A";"2015-08-31 22:37:06"
"W9J1000020";"31/07/2001";"";"";"9J1T";"2001-07-31";"2011-02-02";"2001-08-25";"0001-01-01";"D";"S";"AVIATEURS ASSOCIES DE SAINT BARTHELEMY";"A A S B";"promouvoir , faciliter et organiser la pratique de l'aviation et des différentes activités s'y rattachant notamment par des opérations de découverte de l'aviation auprès du public et par la formation de pilotes, l'entraînement, le voyage et l'instruction technique nécessaires, tant à l'aide de moyens privés que de moyens d'état, à effect de développer l'aviation générale comme de préparer aux carrières ou métiers y ressortissant";"007002";"000000";"Aéroport de Saint-Jean";"";"";"";"";"_";"97701";"97133";"Saint-Barthélemy";"";"Aéroport de Saint-Jean";"";"";"";"97133";"Saint-Barthélemy";"FRANCE";"PM";"";"1";"";"A";"2011-08-04 20:00:02"
"W9J1000021";"15/12/1978";"";"";"9J1T";"1978-12-15";"2020-01-24";"1901-07-01";"0001-01-01";"D";"S";"ORGANISME DE GESTION DE L'ECOLE CATHOLIQUE SAINTE MARIE DE COLOMBIER";"ORGANISME DE GESTION DE L'ECOLE CA...";"assumer juridiquement la gestion d'établissements d'enseignement fondés par l'autorité canonique comptétente";"015035";"000000";"Colombier";"";"";"";"Ecole Sainte Marie";"_";"97701";"97133";"Saint-Barthélemy";"";"Colombier";"lieu dit Hansen";"";"";"97133";"Saint-Barthélemy";"FRANCE";"PM";"";"1";"";"A";"2020-01-28 14:43:18"
"W9J1000022";"";"";"";"9J1T";"2011-01-24";"2014-06-10";"2011-02-12";"0001-01-01";"D";"S";"ASSOCIATION DES CONSOMMATEURS ET USAGERS DE SAINT-BARTHELEMY";"ASSOCIATION DES CONSOMMATEURS ET US...";"aider, soutenir, informer et accompagner les consommateurs et usagers de la collectivité de Saint-Barthélemy";"023002";"000000";"Colombier Bois neuf";"";"";"";"";"_";"97701";"97133";"Saint-Barthélemy";"";"Colombier Bois neuf";"";"";"";"97133";"Saint-Barthélemy";"FRANCE";"PM";"";"0";"";"A";"2014-07-02 13:47:46"
"W9J1000023";"28/10/1988";"";"";"9J1T";"1988-10-28";"2021-12-07";"1901-07-01";"0001-01-01";"D";"S";"AMICALE BOULISTE DE SAINT-BARTHELEMY";"A.B.S.B.";"pratiquer la pétanque et le jeu provençal";"011035";"000000";"Gustavia";"";"";"";"Hôtel de la Collectivité";"_";"97701";"97133";"Saint-Barthélemy";"";"B.P 396";"GUSTAVIA";"";"";"97095";"SAINT-BARTHéLEMY CéDEX";"FRANCE";"PM";"";"1";"";"A";"2021-12-14 21:10:25"
"W9J1000024";"25/08/1986";"";"";"9J1T";"1986-08-25";"2017-10-20";"1986-09-17";"0001-01-01";"D";"S";"RUGBY CLUB DE SAINT-BARTHELEMY ""LES BARRACUDAS""";"RUGBY CLUB DE SAINT-BARTHELEMY ""LE...";"développer et favoriser par tous les moyens appropriés sur le plan sportif la pratique du rugby à quinze";"011080";"000000";"Saint-Jean Morne tourterelles";"";"";"";"";"_";"97701";"97133";"Saint-Barthélemy";"";"Saint-Jean Morne tourterelles";"";"";"";"97133";"Saint-Barthélemy";"FRANCE";"PM";"";"1";"";"A";"2017-10-24 16:00:38"
"W9J1000025";"06/12/1974";"";"";"9J1T";"1974-12-06";"2021-07-02";"1975-01-11";"0001-01-01";"D";"S";"ASSOCIATION DES JEUNES OUVRIERS ET ETUDIANTS DE SAINT BARTHELEMY";"A.J.O.E.S.B";"aider au développement et à l'épanouissement physique, moral et intellectuel des jeunes dans un cadre sain et amical ; promourvoir l' initiation et la pratique des sports ; organiser des centres de vacances et de loisirs, de pique-niques, de voyages organisés ; organiser des évènements sportifs ou culturels ; organiser des rencontres de jeunes, conférences, projections, projections de films, séances théâtrales et récréatives, organiser un espace bibliothèque";"006000";"000000";"Lorient";"";"";"";"";"_";"97701";"97133";"Saint-Barthélemy";"";"Lorient";"";"";"";"97133";"Saint-Barthélemy";"FRANCE";"PF";"";"1";"";"A";"2021-07-27 15:39:16"
"W9J1000026";"12/04/2005";"";"";"9J1T";"2005-04-12";"2017-08-25";"2005-05-21";"0001-01-01";"D";"S";"ASSOCIATION SPORTIVE ET CULTURELLE PORTUGAISE DE SAINT-BARTH";"A.S.C.P.S.B.";"promouvoir et développer tout projet culturel, sportif, artistique ou autre, permettant de développer la qualité du cadre de vie de la communauté portugaise de l'île de saint-barthélemy";"011005";"000000";"Corossol";"";"";"";"";"_";"97701";"97133";"Saint-Barthélemy";"";"A.S.C.P.S.B.";"SAINT-JEAN";"B.P 1346";"";"97133";"SAINT-BARTHÉLEMY";"FRANCE";"PM";"";"1";"";"A";"2017-08-25 19:14:37"
"W9J1000027";"";"";"";"9J1T";"2011-04-05";"2012-01-13";"2011-04-30";"0001-01-01";"D";"S";"SAINT BARTH BLEUE ET VERTE";"SBH BLEUE ET VERTE";"promouvoir des idées et des actions qui ont pour finalité à saint barthélémy, l'épanouissement de la liberté, le développement durable sous toutes ses formes notamment un urbanisme harmonieux et humain, un environnement sauvegardé, la mise en oeuvre des énergies renouvelables et l'émergence d'une légalité intelligente et naturellement respectée par tous, la réflexion seule ou en groupe pour nourrir le débat public d'idées et de propositions qui contribueront à l'élaboration d'un projet de société pour saint barthélémy, l'information, la représentation et la défense des habitants de saint barthélémy pris notamment en qualité d'usagers des services publics ou de consommateurs, la participation au débat public sous toutes ses formes y compris lors des consultations électorales";"050000";"000000";"Grand Cul de Sac";"";"";"";"";"_";"97701";"97133";"Saint-Barthélemy";"";"villa BRIN";"Vitet";"";"BP 115 Saint-Jean";"97133";"Saint-Barthélemy";"FRANCE";"PM";"";"0";"";"A";"2012-01-19 15:21:49"
"W9J1000028";"20/03/1987";"";"";"9J1T";"2011-04-19";"2011-03-22";"1987-04-15";"0001-01-01";"D";"S";"SAINT-BARTH VOLLEY-BALL CLUB";"SBVBC";"organiser et développer la pratique l'encadrement des jeunes et développer les activités et les initiatives dans divers domaines notamment le volley ball et le beach volley sous toutes leurs formes parmi des adhérents résident dans la collectivité de Saint-Barthélemy et de participer aux tournois et compétitions organisées par les instances responsables en titre de la discipline";"011085";"000000";"";"";"";"";"Vitet";"_";"97701";"97133";"Saint-Barthélemy";"";"SBVBC";"VITET";"";"";"97133";"SAINT-BARTHÉLEMY";"FRANCE";"PM";"";"1";"";"A";"2011-05-07 11:44:26"
"W9J1000029";"";"";"";"9J1T";"2011-04-18";"2011-04-18";"2011-05-07";"0001-01-01";"D";"S";"LA MAISON DE LA PETITE ENFANCE DE SAINT-BARTHELEMY ""LA CASE A LINDA""";"M.P.E ST-BARTHELEMY ""LA CASE A LIN...";"organiser toutes actions favorisant la mise en place d'un service d'accueil de proximité, pour les enfants de 0 à 6 ans en fonction des besoins des familles ; mettre à disposition des parents une strutcture d'accueil adéquat et assurer la gestion de l'établissement ; concourir au développement, à l'éducation, à l'épanouissement physique, sensoriel et affectif de l'enfant ainsi qu'à son éveil culturel et à sa socialisation";"021005";"000000";"Carénage Saint-Jean";"";"";"";"";"_";"97701";"97133";"Saint-Barthélemy";"";"Carénage Saint-Jean";"B.P 402";"";"";"97133";"Saint-Barthélemy";"FRANCE";"PM";"";"0";"";"A";"2011-05-07 11:39:41"
"W9J1000030";"";"";"";"9J1T";"2011-04-28";"2011-04-28";"2011-05-21";"0001-01-01";"D";"S";"ST-BARTH HOME ASSISTANCE";"ST-BARTH HOME ASSISTANCE";"répondre à des demandes non satisfaites visant l'amélioration de la vie quotidienne : les services aux personnes relevant de l'agrément qualité, les services aux personnes relevant de l'agrément simple ; assurer la viabilité du service par différentes formes de mixage des ressources publiques et privées ; organiser l'implication de tous les acteurs privés et sa solvalisation d'une part et construire une offre de qualité d'autre part";"021000";"000000";"";"";"";"";"Marigot Mont Jean";"_";"97701";"97133";"Saint-Barthélemy";"";"Marigot Mont Jean";"B.P 1347";"";"";"97133";"Saint-Barthélemy";"FRANCE";"PM";"";"0";"";"A";"2011-05-25 19:05:18"
"W9J1000031";"";"";"";"9J1T";"2011-05-02";"2011-07-28";"2011-05-21";"0001-01-01";"D";"S";"ARTMUZIK ST BART";"ARTMUZIK ST BART";"organiser et produire des spectacles d'artistes vivants ;
promouvoir des artistes : chanteurs, musiciens, danseurs, jongleurs, comédiens, poètes et peintres ; favoriser des rencontres entre les artistes invités et les jeunes en âge scolaire sur l'île de Saint-Barthélemy ; établir des partenariats avec des associations artistiques en dehors de l'île";"006100";"000000";"Domaine du levant";"";"";"";"Petit Cul de Sac";"_";"97701";"97133";"Saint-Barthélemy";"";"Domaine du levant";"";"Petit Cul de Sac";"";"97133";"Saint-Barthélemy";"FRANCE";"PF";"";"0";"";"A";"2011-08-01 14:54:30"
"W9J1000032";"08/09/1996";"";"";"9J1T";"1996-09-08";"2014-08-06";"1996-10-02";"2014-08-05";"D";"S";"ASSOCIATION DE GESTION DE LA RESERVE NATURELLE  DE SAINT-BARTHELEMY (GRENAT)";"ASSOCIATION GRENAT";"gérer la réserve naturelle de Saint-Barthélemy, protéger les sites naturels qui la composent, installer et effectuer la maintenance des équipements nécessaires, effectuer la gestion du personnel, informer le public et mettre en oeuvre toutes les dispositions règlementaires retenues par l'assemblée pour son fonctionnement, contrôler l'application du règlement intérieur, établir et gérer le budget, gérer d'autres sites naturels de Saint-Barthélemy et ses îlots ou mener des actions de sauvegarde et de réhabilitation des espèces animales et végétales sur tout le territoire";"024015";"000000";"B.P 683";"";"";"";"Gustavia";"_";"97701";"97133";"Saint-Barthélemy";"";"VILLA YUANA";"";"ANSE DES CAYES";"";"97133";"Saint-Barthélemy";"FRANCE";"PM";"";"1";"";"D";"2014-09-02 14:15:28"
"W9J1000033";"30/06/1986";"";"";"9J1T";"1986-06-30";"2020-07-03";"1986-08-06";"0001-01-01";"D";"S";"AMICALE DE L'ECOLE MATERNELLE DE GUSTAVIA";"AMICALE DE L'ECOLE MATERNELLE DE G...";"développer les relations entre les parents et les enseignants dans le cadre d'actions ou d'activités à caractères sociaux, éducatifs ou périscolaires ; promouvoir et défendre l'image de marque de l'école laïque ; aider à l'acquisition d'équipements à usage pédagogique ou récréatif ; permettre par des actions diverses une meilleure insertion des enfants dans leur cadre scolaire ainsi que dans la société de Saint-Barthélemy";"015075";"000000";"Ecole maternelle de Gustavia";"";"";"";"";"_";"97701";"97133";"Saint-Barthélemy";"";"Ecole maternelle de Gustavia";"";"";"";"97133";"Saint-Barthélemy";"FRANCE";"PF";"";"1";"";"A";"2020-07-06 16:25:49"
"W9J1000034";"15/03/2007";"";"";"9J1T";"2007-03-29";"2016-11-28";"1901-07-01";"2016-11-15";"D";"S";"ST-BARTH WINDSURFING CLUB";"ST-BARTH WINDSURFING CLUB";"pratiquer, enseignement et être le support à la compétition du windsurfing et des sports associés";"011185";"000000";"Grand cul de sac";"";"";"";"";"_";"97701";"97133";"Saint-Barthélemy";"";"B.P 1221";"";"";"";"97133";"Saint-Barthélemy";"FRANCE";"PM";"";"1";"";"D";"2016-11-28 21:28:48"
"W9J1000035";"";"";"";"9J1T";"2011-05-12";"2013-03-04";"2011-06-04";"0001-01-01";"D";"S";"SAINT-BARTH FUN CUP";"SAINT-BARTH FUN CUP";"rechercher des partenaires et organiser la course de planche à voile annuelle sur l'île de Saint-Barthélemy dénommée la Saint-Barth Fun Cup ou des manifestations sportives similaires";"011185";"000000";"Route du village";"";"";"";"Saint-Jean";"_";"97701";"97133";"Saint-Barthélemy";"";"Route du village";"";"Saint-Jean";"";"97133";"Saint-Barthélemy";"FRANCE";"PM";"";"0";"";"A";"2013-03-22 15:31:45"
"W9J1000036";"";"";"";"9J1T";"2011-06-15";"2011-06-15";"2011-07-09";"0001-01-01";"D";"S";"ST BARTS QUEENS";"ST BARTS QUEENS";"permettre de représenter l'île de Saint-Barthélemy au concours internationaux de beauté, travailler en relation avec les institutions publiques et privées de Saint-Barthélemy dans le but de promouvoir la mode, la beauté, l'identité et les valeurs de Saint-Barthélemy au-delà des frontières";"050000";"050000";"";"";"";"";"Merlette";"_";"97701";"97133";"Saint-Barthélemy";"";"Merlette";"";"";"";"97133";"Saint-Barthélemy";"FRANCE";"PF";"";"0";"";"A";"2011-07-18 20:39:17"
